Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,Project 
1,30131335310200,3799003750,Jazz,03265061258,8992300001589026983F,COSMOS
2,24131335312100,3799004298,Ufone,03313456380,8941003415451709873,COSMOS
3,24131335312120,3799004727,Telenor,03491823350,89410062204710010511,COSMOS
4,27131336313370,3798014294,Ufone,03313115675,999034116366976,COSMOS
5,27131336311732,3798010691,Ufone,03313429264,8941003415451708954,COSMOS
6,27131336311733,3798012224,Ufone,03313439791,8941003415451709266,COSMOS
7,27131336311739,3798014295,Jazz,03263819644,89410034154317673903,COSMOS
8,27131336311850,3798012272,Ufone,03313452807,8941003415451709697,COSMOS
9,27131336311851,3798012273,Ufone,03313452808,8941003415451709698,COSMOS
10,27131336311857,3798012275,Ufone,03313452837,8941003415451709700,COSMOS
11,27131336311860,3798008695,Telenor,03482103922,8941006220572091927,COSMOS
12,27131336311920,3798010695,Ufone,03313439782,8941003415451709265,COSMOS
13,27131336312080,3798011219,Ufone,03313439809,8941003415451709267,COSMOS
14,27131336312183,3798010692,Ufone,03313429270,8941003415451708955,COSMOS
15,27131336312184,3798010693,Ufone,03313429277,8941003415451708956,COSMOS
16,28131335306300,3799003827,Ufone,03313450602,8941003415451709632,COSMOS
17,24131335306200,3799004159,Ufone,03313471565,89410034154517100798,COSMOS
18,24131335306210,3799004160,Ufone,03313471584,89410034154517100806,COSMOS
19,27131336311855,3798012274,Ufone,03313452820,8941003415451709699,COSMOS
20,27131336312210,3798012267,Ufone,03313452279,8941003415451709687,COSMOS
21,27131336312260,3798012532,Ufone,03313457052,8941003415451709901,COSMOS
22,27131336312280,3798011655,Ufone,03313428915,8941003415451708933,COSMOS
23,27131336312312,3798014704,Telenor,03491826029,89410062204710011055,COSMOS
24,27131336312390,3798014705,Telenor,03473158005,89410062204720367125,COSMOS
25,27131336312540,3798012531,Ufone,03313457046,8941003415451709900,COSMOS
26,28131335309200,3799003684,Telenor,03482099416,89410062205720938633,COSMOS
27,28131335309210,3799003747,Ufone,03313450622,8941003415451709633,COSMOS
28,29131337301810,3798010610,Ufone,03313452209,8941003415451709685,COSMOS
29,29131337301820,3798013346,Telenor,03491825655,89410062204710010966,COSMOS
30,29131337301900,3798008693,Telenor,03482103882,8941006220572091925,COSMOS
31,29131337301901,3798008694,Telenor,03482103905,8941006220572091926,COSMOS
32,20131331777400,3798014701,Telenor,03491825324,89410062204710010909,COSMOS
33,27131336300412,3798013205,Ufone,,89410034154517096939,COSMOS
34,27131336301472,3798014286,Ufone,03313115278,89410034154317673812,COSMOS
35,27131336311170,3798014289,Ufone,03313115509,89410034154317673846,COSMOS
36,27131336311550,3798014702,Telenor,03491825984,89410062204710011022,COSMOS
37,27131336311675,3798014291,Ufone,03313115561,89410034154317673861,COSMOS
38,27131336311682,3798011422,Ufone,03313452575,8941003415451709692,COSMOS
39,29131337301939,3798012266,Ufone,03313452245,8941003415451709686,COSMOS
40,24131335313200,3799004300,Ufone,03313456438,8941003415451709875,COSMOS
41,27131336300411,3798012270,Ufone,03313452493,8941003415451709690,COSMOS
42,27131336311155,3798013460,Telenor,03491832513,89410062204710012384,COSMOS
43,27131336311190,3798013495,Telenor,03491852644,89410062204720374097,COSMOS
44,27131336311192,3798014290,Ufone,03313115540,89410034154317673853,COSMOS
45,27131336311210,3798010609,Ufone,03313452069,8941003415451709684,COSMOS
46,24131335306400,3799004726,Telenor,03491832549,89410062204710012392,COSMOS
47,24131335306700,3799004899,Jazz,03206452040,8992300001589041982F,COSMOS
48,24131335307158,3799004299,Ufone,03313456399,8941003415451709874,COSMOS
49,27131336311800,3798014703,Telenor,03491826020,89410062204710011048,COSMOS
50,27131336311866,3798012223,Ufone,03313439781,8941003415451709264,COSMOS
51,27131336312170,3798012269,Ufone,03313452399,8941003415451709689,COSMOS
52,27131336312450,3798012268,Ufone,03313452348,8941003415451709688,COSMOS
53,27131336312455,3798014293,Ufone,03313115590,89410034154317673887,COSMOS
54,29131337300900,3798010606,Ufone,03313451997,8941003415451709681,COSMOS
55,29131337301100,3798010607,Ufone,03313452012,8941003415451709682,COSMOS
56,29131337301300,3798010608,Ufone,03313452013,8941003415451709683,COSMOS
57,29131337301450,3798008692,Telenor,03482103788,8941006220572091924,COSMOS
58,28131335301800,3799003746,Ufone,03313450793,89410034154517096426,COSMOS
59,28131335310000,3799003749,Ufone,03313450629,8941003415451709634,COSMOS
60,24131335303500,3799004444,Telenor,03491857002,89410062204720374469,COSMOS
61,27131336310520,3798012533,Ufone,03313457081,8941003415451709902,COSMOS
62,27131336310580,3798012534,Ufone,03313457101,8941003415451709903,COSMOS
63,27131336310610,3798012574,Ufone,03313457129,8941003415451709905,COSMOS
64,27131336310650,3798014287,Ufone,03313115301,89410034154317673820,COSMOS
65,27131336310740,3798012575,Ufone,03313457144,8941003415451709906,COSMOS
66,27131336310771,3798012538,Ufone,03313457187,8941003415451709907,COSMOS
67,27131336310918,3798014288,Ufone,03313115481,89410034154317673838,COSMOS
68,28131335308500,3799003748,Ufone,03313450778,89410034154517096418,COSMOS
69,27131336311556,3798011421,Ufone,03313452537,8941003415451709691,COSMOS
70,27131336311690,3798011651,Ufone,03313429251,8941003415451708953,COSMOS
71,27131336311691,3798011653,Ufone,03313429184,8941003415451708951,COSMOS
72,27131336311692,3798011652,Ufone,03313429225,8941003415451708952,COSMOS
73,27131336311709,3798014292,Ufone,03313115574,89410034154317673879,COSMOS
74,24131335300600,3799004729,Telenor,03491847805,89410062204720373099,COSMOS
75,24131335301700,3799004728,Telenor,03491847818,89410062204720373107,COSMOS
76,24131335302300,3799004443,Telenor,03491857044,89410062204720374477,COSMOS
77,27131336310160,3798011220,Ufone,03313439772,8941003415451709263,COSMOS
78,27131336310300,3798011425,Ufone,03313452686,8941003415451709695,COSMOS
79,27131336310310,3798012271,Ufone,03313452802,8941003415451709696,COSMOS
80,27131336312779,3798011424,Ufone,03313452672,8941003415451709694,COSMOS
81,27131386804906,3798014218,Ufone,03313114770,89410034154317673713,COSMOS
82,24131385805102,3799004411,Ufone,03313455862,89410034154517126595,COSMOS
83,24131385805111,3799004125,Ufone,03313471494,89410034154517100756,COSMOS
84,24131385888027,3799004685,Ufone,03313453251,89410034154517097101,COSMOS
85,27131386826000,3798014225,Ufone,03313115098,89410034154317673788,COSMOS
86,27131386826002,3798010628,Ufone,03313439753,8941003415451709260,COSMOS
87,29131387832400,3798010680,Ufone,03313429178,8941003415451708950,COSMOS
88,29131387835604,3798008684,Ufone,03313429848,8941003415451708981,COSMOS
89,24131385808605,3799004268,Ufone,03313456496,8941003415451709878,COSMOS
90,27131386803700,3798010847,Ufone,03313453513,8941003415451709717,COSMOS
91,27131386804620,3798013615,Jazz,03265075117,899230000158903926,COSMOS
92,27131386804706,3798008682,Ufone,03313430318,8941003415451709003,COSMOS
93,27131386818807,3798013620,Ufone,03313439726,89410034154517092532,COSMOS
94,29131387815103,3798012573,Ufone,03313457310,8941003415451709915,COSMOS
95,24131385800900,3799004896,Telenor,03491852656,89410062204720374113,COSMOS
96,24131385801601,3798012561,Ufone,03313457193,8941003415451709908,COSMOS
97,27131386810518,3798012565,Ufone,03313457219,8941003415451709912,COSMOS
98,27131386810600,3798012571,Ufone,03313457281,8941003415451709913,COSMOS
99,27131386811010,3798012572,Ufone,03313457287,8941003415451709914,COSMOS
100,27131386822702,3798013614,Jazz,03265075119,8992300001589039275F,COSMOS
101,27131386824908,3798011403,Ufone,03313439745,8941003415451709259,COSMOS
102,28131385801501,3799003711,Telenor,03482099579,8941006220572093865,COSMOS
103,24131385801413,3799004897,Telenor,03491852678,89410062204720374121,COSMOS
104,24131385888045,3799004761,Ufone,03313424021,89410034154517087920,COSMOS
105,27131386812000,3798012222,Ufone,03313439642,8941003415451709250,COSMOS
106,27131386823104,3798010630,Ufone,03313439735,8941003415451709256,COSMOS
107,27131386823901,3798011405,Ufone,03313439737,8941003415451709257,COSMOS
108,27131386824401,3798014227,Ufone,03313115221,89410034154317673804,COSMOS
109,27131386824406,3798014222,Ufone,03313114863,89410034154317673754,COSMOS
110,27131386824419,3798014223,Ufone,03313114908,89410034154317673762,COSMOS
111,27131386824900,3798014224,Ufone,03313115040,89410034154317673770,COSMOS
112,27131386824904,3798010849,Ufone,03313453546,8941003415451709719,COSMOS
113,28131385807615,3799003714,Telenor,03482099627,8941006220572093867,COSMOS
114,24131385802705,3799004267,Ufone,03313456480,8941003415451709877,COSMOS
115,24131385888021,3799004060,Ufone,03313471517,89410034154517100764,COSMOS
116,27131386812302,3798008683,Ufone,03313430337,8941003415451709005,COSMOS
117,27131386826007,3798010627,Ufone,03313439690,8941003415451709252,COSMOS
118,24131385803604,3799004683,Ufone,03313456646,89410034154517098844,COSMOS
119,27131386827200,3798014226,Ufone,03313115120,999034116366976,COSMOS
120,27131386827509,3798011962,Ufone,03313439754,8941003415451709261,COSMOS
121,27131386828303,3798011401,Ufone,03313439764,8941003415451709262,COSMOS
122,27131386828313,3798010996,Ufone,03313452842,8941003415451709701,COSMOS
123,27131386828314,3798010997,Ufone,03313452861,8941003415451709702,COSMOS
124,27131386828315,3798010998,Ufone,03313452938,8941003415451709703,COSMOS
125,27131386828316,3798010999,Ufone,03313453046,8941003415451709704,COSMOS
126,27131386828605,3798011000,Ufone,03313453106,8941003415451709705,COSMOS
127,27131386828701,3798010971,Ufone,03313453127,8941003415451709706,COSMOS
128,27131386828800,3798010972,Ufone,03313453136,8941003415451709707,COSMOS
129,27131386828801,3798010973,Ufone,03313453188,8941003415451709708,COSMOS
130,27131386828810,3798010974,Ufone,03313453227,8941003415451709709,COSMOS
131,27131386828902,3798010975,Ufone,03313453251,8941003415451709710,COSMOS
132,27131386829304,3798010891,Ufone,03313453268,8941003415451709711,COSMOS
133,27131386829315,3798010892,Ufone,03313453307,8941003415451709712,COSMOS
134,27131386829317,3798010893,Ufone,03313453367,8941003415451709713,COSMOS
135,27131386829320,3798010894,Ufone,03313453370,8941003415451709714,COSMOS
136,28131385803904,3799003716,Ufone,03313439185,8941003415451709214,COSMOS
137,29131387835011,3798010850,Ufone,03313453556,8941003415451709720,COSMOS
138,29131387835500,3798008685,Ufone,03313430326,8941003415451709004,COSMOS
139,24131385808024,3799004269,Ufone,03313456577,8941003415451709879,COSMOS
140,27131386814900,3798010629,Ufone,03313439684,8941003415451709251,COSMOS
141,27131386817501,3798010668,Ufone,03313429169,8941003415451708947,COSMOS
142,27131386817502,3798010669,Ufone,03313429165,8941003415451708946,COSMOS
143,27131386817503,3798010670,Ufone,03313429161,8941003415451708945,COSMOS
144,27131386817505,3798010676,Ufone,03313429158,8941003415451708944,COSMOS
145,27131386817506,3798010677,Ufone,03313429153,8941003415451708943,COSMOS
146,27131386817507,3798010678,Ufone,03313429145,8941003415451708942,COSMOS
147,27131386818000,3798014220,Ufone,03313114829,8941003415431767373,COSMOS
148,27131386818804,3798010679,Ufone,03313429134,8941003415451708941,COSMOS
149,28131385807905,3799003715,Telenor,03482099664,8941006220572093868,COSMOS
150,28131385808010,3799003717,Telenor,03482099706,8941006220572093869,COSMOS
151,24131385888075,3799004441,Telenor,03491832731,89410062204710012418,COSMOS
152,24131385888076,3799004442,Telenor,03491832736,89410062204710012426,COSMOS
153,27131386800110,3798010666,Ufone,03313429179,8941003415451708949,COSMOS
154,27131386800511,3798012562,Ufone,03313457199,8941003415451709909,COSMOS
155,27131386800540,3798010667,Ufone,03313429174,8941003415451708948,COSMOS
156,27131386809700,3798014219,Ufone,03313114812,89410034154317673721,COSMOS
157,27131386819103,3798010626,Ufone,03313439732,8941003415451709254,COSMOS
158,27131386819207,3798012225,Ufone,03313439733,8941003415451709255,COSMOS
159,27131386819701,3798014221,Ufone,03313114837,89410034154317673747,COSMOS
160,28131385804200,3799003713,Telenor,03482099622,8941006220572093866,COSMOS
161,27131316109001,3798014573,Ufone,03313421134,89410034154517126561,COSMOS
162,27131316109500,3798013592,Telenor,03491852637,89410062204720374089,COSMOS
163,27131316110400,3798010642,Ufone,03313450359,8941003415451709614,COSMOS
