Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,Project
1,24121132374700,3298054526,Zong,03184195772,8992042403180387959F,COSMOS
2,24121132375300,3298058800,Zong,03184195924,8992042403180388502F,COSMOS
3,24121132465800,3298058403,Zong,03184195913,8992042403180388445F,COSMOS
4,24121132518500,3298054345,Zong,03184195920,8992042403180388494F,COSMOS
5,24121132519500,3298058799,Zong,03184195773,8992042403180387967F,COSMOS
6,24121132529701,3298059677,Ufone,03334508765,89410034231412171742,COSMOS
7,24121132530801,3298058751,Ufone,03334096131,89410034231412171692,COSMOS
8,24121132530803,3298054232,Zong,03184195783,8992042403180388007F,COSMOS
9,24121132532503,3298058525,Ufone,03334189500,89410034231412171718,COSMOS
10,24121132539601,3298060814,Ufone,03334046404,89410034231412171668,COSMOS
11,24121132539810,3298055420,Ufone,03332762156,89410034231412171619,COSMOS
12,24121132549603,3298054348,Ufone,03332556362,89410034231412171585,COSMOS
13,24121133512100,3298058636,Ufone,03332554297,89410034231412171502,COSMOS
14,24121133513600,3298058451,Ufone,03332762131,89410034231412171601,COSMOS
15,24121133524800,3299013430,Ufone,03328019949,89410034154610271926,COSMOS
16,27121133526200,3299022890,Zong,03108153043,8992042403180447621F,COSMOS
17,21121130887500,3298054346,Ufone,03353403683,89410034154413697814,COSMOS
18,21121130892900,3298058875,Ufone,03334882214,89410034231412172047,COSMOS
19,24121130786700,3298058983,Ufone,03334882261,89410034231412172112,COSMOS
20,24121130840902,3298058719,Ufone,03334882251,89410034231412172096,COSMOS
21,24121130901100,3298058946,Ufone,03334882237,89410034231412172062,COSMOS
22,24121130920901,3298058708,Ufone,03334882285,89410034231412172146,COSMOS
23,24121133399600,3298058876,Ufone,03334882219,89410034231412172054,COSMOS
24,24121133489506,3298058358,Ufone,03334882246,89410034231412172088,COSMOS
25,24121133489509,3298058526,Ufone,03334882273,89410034231412172138,COSMOS
26,27121132059701,3299022889,Zong,03108153082,8992042403180447977F,COSMOS
27,27121132072300,3299022700,Zong,03108153299,8992042403180449668F,COSMOS
28,24121130240702,3298058304,Ufone,03334881183,89410034231412171957,COSMOS
29,24121131484401,3298054500,Zong,03184195706,8992042403180387595F,COSMOS
30,24121131490802,3298060850,Zong,03184195837,8992042403180388239F,COSMOS
31,24121131495601,3298060849,Ufone,03332552894,89410034231412171403,COSMOS
32,24121131501701,3298054525,Zong,03184195692,8992042403180387538F,COSMOS
33,24121131505000,3298055428,Zong,03184195683,8992042403180387512F,COSMOS
34,24121131506101,3299025391,Ufone,03328163952,89410034232313256319,COSMOS
35,24121131565801,3298058824,Zong,03184195836,8992042403180388221F,COSMOS
36,24121131568401,3299025434,Ufone,03328158340,89410034232313254595,COSMOS
37,24121131574201,3298058469,Ufone,03332552867,89410034231412171387,COSMOS
38,24121131574804,3299025128,Ufone,03328155818,89410034232313253514,COSMOS
39,24121131575201,3298054323,Zong,03184195681,8992042403180387504F,COSMOS
40,24121131578302,3299025435,Ufone,03328158286,89410034232313254587,COSMOS
41,24121131578500,3298060839,Zong,03184195839,8992042403180388254F,COSMOS
42,24121131586402,3299025393,Ufone,03328155807,89410034232313253506,COSMOS
43,24121131592701,3298060852,Zong,03184195861,8992042403180388296F,COSMOS
44,24121131625102,3299025015,Zong,03170172216,8992042403180399301F,COSMOS
45,24121131661401,3298054508,Zong,03184195707,8992042403180387603F,COSMOS
46,24121131914100,3299025438,Ufone,03328159958,89410034232313255261,COSMOS
47,24121131916000,3299025436,Ufone,03328159938,89410034232313255253,COSMOS
48,24121131920300,3299025012,Zong,03170172187,8992042403180399145F,COSMOS
49,27121131569301,3299023535,Ufone,03313402406,89410034154517079638,COSMOS
50,27121131613200,3299015675,Zong,03102296297,8992042403180441947F,COSMOS
51,27121133147501,3299015964,Zong,03112746967,8992042303180041871F,COSMOS
52,27121133204300,3299022851,Zong,03170171527,8992042403180395150F,COSMOS
53,21121130615200,3298060857,Ufone,03334880041,89410034231412171791,COSMOS
54,21121130619301,3298060821,Ufone,03334880131,89410034231412171809,COSMOS
55,21121130625200,3298058746,Ufone,03334515432,89410034231412171767,COSMOS
56,24121130610608,3299021815,Ufone,03353406743,8941003415451708157,COSMOS
57,24121130614502,3298058305,Ufone,03334525432,89410034231412171775,COSMOS
58,24121130615901,3298058306,Ufone,03334743500,89410034231412171783,COSMOS
59,24121130617301,3298058990,Zong,03184195819,8992042403180388130F,COSMOS
60,24121130620202,3298054314,Zong,03184195698,8992042403180387546F,COSMOS
61,24121130620412,3298060822,Ufone,03334880138,89410034231412171817,COSMOS
62,24121130689902,3299022959,Zong,03170171949,8992042403180397792F,COSMOS
63,24121130706601,3298060835,Ufone,03334880151,89410034231412171833,COSMOS
64,24121130723201,3298058335,Zong,03184195825,8992042403180388163F,COSMOS
65,24121130724200,3299022848,Zong,03170171540,8992042403180395283F,COSMOS
66,24121130728501,3298058336,Zong,03184195830,8992042403180388197F,COSMOS
67,24121130729004,3298058934,Ufone,03332552121,89410034231412171353,COSMOS
68,24121130730702,3298058006,Zong,03184195831,8992042403180388205F,COSMOS
69,24121130732802,3298058933,Zong,03184195828,8992042403180388171F,COSMOS
70,27121130607802,3299023610,Zong,03108153064,8992042403180447803F,COSMOS
71,27121130608002,3299023570,Zong,03108153087,8992042403180448025F,COSMOS
72,27121130610300,3299022887,Zong,03108153159,8992042403180448496F,COSMOS
73,27121130610301,3299022832,Zong,03108153186,8992042403180448710F,COSMOS
74,27121130610305,3299022687,Zong,03108153184,8992042403180448694F,COSMOS
75,27121130610500,3299022834,Zong,03108153190,8992042403180448744F,COSMOS
76,27121130610619,3299022530,Zong,03108153253,8992042403180449239F,COSMOS
77,27121130610625,3299022527,Zong,03108153252,8992042403180449221F,COSMOS
78,27121130610626,3299023633,Zong,03108153323,8992042403180449841F,COSMOS
79,27121130610627,3299022529,Zong,03108153236,8992042403180449098F,COSMOS
80,27121130611401,3299023568,Zong,03108153086,8992042403180448017F,COSMOS
81,27121130611503,3299022526,Zong,03108153249,8992042403180449205F,COSMOS
82,27121130614103,3299022690,Zong,03108153205,8992042403180448868F,COSMOS
83,27121130614800,3299022688,Zong,03108153165,8992042403180448520F,COSMOS
84,27121130616301,3299023045,Zong,03108153240,8992042403180449122F,COSMOS
85,27121130616701,3299023042,Zong,03108153239,8992042403180449114F,COSMOS
86,27121130620001,3299023593,Ufone,03313403016,89410034154517080206,COSMOS
87,27121130620207,3299023631,Zong,03108153220,8992042403180448991F,COSMOS
88,27121130697512,3299023531,Ufone,03313405753,8941003415451708129,COSMOS
89,27121130727503,3299022877,Zong,03108153317,8992042403180449791F,COSMOS
90,27121130728500,3299022990,Ufone,03313403497,89410034154517080479,COSMOS
91,27121130729405,3299022879,Ufone,03313402393,89410034154517079620,COSMOS
92,27121130730701,3299022878,Zong,03108153350,8992042403180449981F,COSMOS
93,21121130020401,3298058637,Ufone,03334881167,89410034231412171924,COSMOS
94,21121130386500,3298058791,Ufone,03334882206,89410034231412172021,COSMOS
95,24121130079600,3298058904,Ufone,03334881120,89410034231412171866,COSMOS
96,24121130147000,3298058792,Ufone,03334881126,89410034231412171874,COSMOS
97,24121130179400,3298058770,Ufone,03334881131,89410034231412171890,COSMOS
98,24121130186300,3298058785,Ufone,03334881128,89410034231412171882,COSMOS
99,24121130188800,3298058346,Ufone,03334882212,89410034231412172039,COSMOS
100,24121130190800,3298058769,Ufone,03334881135,89410034231412171908,COSMOS
101,24121130200800,3298058340,Ufone,03334881163,89410034231412171916,COSMOS
102,24121130240401,3298058303,Ufone,03334881105,89410034231412171858,COSMOS
103,24121130330502,3298058819,Ufone,03334881193,89410034231412171973,COSMOS
104,24121130338400,3298058980,Ufone,03334881195,89410034231412171981,COSMOS
105,24121130365601,3298058979,Ufone,03334881198,89410034231412171999,COSMOS
106,24121130385501,3298058339,Ufone,03334881817,89410034231412172013,COSMOS
107,24121130387000,3298058691,Ufone,03334881178,89410034231412171940,COSMOS
108,24121130449300,3298058345,Ufone,03334881172,89410034231412171932,COSMOS
109,24121131575202,3299025014,Zong,03170172217,8992042403180399319F,COSMOS
110,27121130486000,3299015965,Zong,03112746966,8992042303180041863F,COSMOS
111,24121131248404,3299025011,Ufone,03328158279,89410034232313254579,COSMOS
112,24121131249003,3298058798,Ufone,03332552869,89410034231412171395,COSMOS
113,24121131252000,3299025433,Ufone,03328158511,89410034232313254645,COSMOS
114,24121131252601,3298054347,Zong,03184195702,8992042403180387561F,COSMOS
115,24121131266301,3298054240,Zong,03184195723,8992042403180387637F,COSMOS
116,24121131330801,3298054259,Zong,03184195715,8992042403180387629F,COSMOS
117,24121131334500,3298054509,Zong,03184195724,8992042403180387645F,COSMOS
118,24121131498801,3298054212,Zong,03184195712,8992042403180387611F,COSMOS
119,21121132851900,3298054510,Zong,03184195704,8992042403180387587F,COSMOS
120,24121130730006,3298054507,Zong,03184195703,8992042403180387579F,COSMOS
121,24121132659701,3298058383,Ufone,03332552212,89410034231412171379,COSMOS
122,24121132661100,3298058947,Ufone,03332552201,89410034231412171361,COSMOS
123,24121132689800,3298060836,Ufone,03334883369,89410034231412172237,COSMOS
124,24121132716300,3298054505,Ufone,03332552100,89410034231412171346,COSMOS
125,24121132725901,3298058384,Ufone,03332551919,89410034231412171338,COSMOS
126,24121132726400,3298058831,Ufone,03332551900,89410034231412171320,COSMOS
127,27121130509304,3299023632,Zong,03108153324,8992042403180449858F,COSMOS
128,27121132647400,3299023606,Zong,03108153060,8992042403180447761F,COSMOS
129,27121132651900,3299022987,Ufone,03313403502,89410034154517080487,COSMOS
130,27121132685004,3299022728,Ufone,03313404139,89410034154517080784,COSMOS
131,27121132692401,3299023607,Zong,03108153061,8992042403180447779F,COSMOS
132,27121132702101,3299022986,Ufone,03313403433,89410034154517080453,COSMOS
133,24121132492200,3298058828,Zong,03184195916,8992042403180388452F,COSMOS
134,24121132511000,3298058755,Zong,03184195917,8992042403180388460F,COSMOS
135,24121132521902,3298054520,Zong,03184195919,8992042403180388486F,COSMOS
136,24121133224000,3298058889,Zong,03184195908,8992042403180388429F,COSMOS
137,24121133298601,3298058890,Zong,03184195911,8992042403180388437F,COSMOS
138,27121132528000,3299015761,Ufone,03344926320,89410034154517043592,COSMOS
139,24121130504800,3299022850,Ufone,03353409935,89410034154413722232,COSMOS
