Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,28121132208502,3299015945,Ufone,03328024713,89410034154610275802,COSMOS
2,28121132209201,3299020034,Zong,03108153011,8992042403180447456F,COSMOS
3,28121132375601,3299015941,Ufone,03328024604,89410034154610275489,COSMOS
4,28121132479200,3299016045,Ufone,03328025230,89410034154610251373,COSMOS
5,28121132534303,3299023595,Zong,03108153014,8992042403180447480F,COSMOS
6,28121132534400,3299023594,Zong,03108153013,8992042403180447472F,COSMOS
7,28121132534700,3299010086,Ufone,03370496569,89410034154610246266,COSMOS
8,28121132534800,3299020005,Zong,03108153012,8992042403180447464F,COSMOS
9,28121132535000,3299015762,Ufone,03344926298,89410034154517043584,COSMOS
10,28121132535200,3299020031,Ufone,03344936279,89410034154517050860,COSMOS
11,28121132535201,3299020032,Ufone,03344936299,89410034154517050878,COSMOS
12,28121133523101,3299015749,Zong,03162283608,8992042403180415420F,COSMOS
13,30121132376101,3299015493,Zong,03162283581,8992042403180415180F,COSMOS
14,30121132473700,3299015609,Zong,03162283894,8992042403180413540F,COSMOS
15,30121132539200,3299010090,Ufone,03370496548,89410034154610246258,COSMOS
16,30121133507801,3299021997,Zong,03102296199,8992042403180441483F,COSMOS
17,30121133526100,3299015765,Ufone,03328037750,89410034154517116364,COSMOS
18,30121133526101,3299015754,Ufone,03328037992,89410034154517116679,COSMOS
19,30121133526400,3299015494,Zong,03162283757,8992042403180412294F,COSMOS
20,30121133526500,3299015755,Ufone,03328037914,89410034154517116539,COSMOS
21,30121133526700,3299015763,Ufone,03328037790,89410034154517116380,COSMOS
22,28121132087001,3299015720,Ufone,03344935981,89410034154517050761,COSMOS
23,28121133378800,3299015853,Zong,03104261256,8992042403180243053F,COSMOS
24,28121133459700,3299015852,Zong,03104261239,8992042403180243038F,COSMOS
25,30121130784601,3299015870,Zong,03162283537,8992042403180414779F,COSMOS
26,30121130832701,3299012769,Zong,03104261649,8992042403180243657F,COSMOS
27,30121130851201,3299015869,Zong,03162283528,8992042403180414704F,COSMOS
28,30121130851901,3299015867,Zong,03162283526,8992042403180414688F,COSMOS
29,30121130898400,3299012768,Zong,03104261284,8992042403180243129F,COSMOS
30,30121133459701,3299015718,Zong,03104261219,8992042403180243020F,COSMOS
31,30121133464800,3299015854,Zong,03104261255,8992042403180243046F,COSMOS
32,28121131500200,3299020002,Ufone,03344931383,89410034154517047635,COSMOS
33,28121131506200,3299025394,Ufone,03328164584,89410034232313256483,COSMOS
34,28121131506201,3299025395,Ufone,03328155781,89410034232313253498,COSMOS
35,28121131527900,3299025437,Ufone,03328163822,89410034232313256301,COSMOS
36,28121131573901,3299015976,Ufone,03344926225,89410034154517043501,COSMOS
37,28121131601401,3299025439,Ufone,03328159971,89410034232313255279,COSMOS
38,28121131914002,3299025013,Zong,03170172142,8992042403180398725F,COSMOS
39,30121131488400,3299020006,Ufone,03328012886,89410034154610264608,COSMOS
40,30121131498300,3299015856,Zong,03112746945,8992042303180041657F,COSMOS
41,30121131547400,3299010701,Ufone,03328012826,89410034154610264483,COSMOS
42,30121131574901,3299015672,Zong,03165937437,8992042403180405421F,COSMOS
43,30121131634901,3299012981,Zong,03162283969,8992042403180414258F,COSMOS
44,30121131902400,3299010704,Ufone,03328012775,89410034154610264426,COSMOS
45,28121130615305,3299022730,Ufone,03313404263,89410034154517080818,COSMOS
46,28121133048100,3299015492,Ufone,03328031589,89410034154610258212,COSMOS
47,28121133141900,3299022852,Zong,03170171526,8992042403180395143F,COSMOS
48,28121133206800,3299012751,Ufone,03328021353,89410034154610272379,COSMOS
49,30121133131602,3299012754,Ufone,03328019481,89410034154610271546,COSMOS
50,30121133140200,3299015963,Zong,03165937460,8992042403180405645F,COSMOS
51,30121133147000,3299010089,Ufone,03328012643,89410034154610264244,COSMOS
52,30121133197402,3299012755,Ufone,03328019483,89410034154610271553,COSMOS
53,28121130607702,3299023566,Zong,03108153047,8992042403180447654F,COSMOS
54,28121130608001,3299022689,Zong,03108153154,8992042403180448462F,COSMOS
55,28121130608100,3299015806,Ufone,03328037924,89410034154517116547,COSMOS
56,28121130608400,3299013346,Telenor,03498369325,89410062404728765417,COSMOS
57,28121130608700,3299023608,Zong,03108153062,8992042403180447787F,COSMOS
58,28121130608701,3299022729,Ufone,03313404184,89410034154517080800,COSMOS
59,28121130610201,3299010656,Zong,03171711802,8992042403180367704F,COSMOS
60,28121130610202,3299023569,Zong,03108153090,8992042403180448033F,COSMOS
61,28121130610302,3299022831,Zong,03108153185,8992042403180448702F,COSMOS
62,28121130610400,3299022835,Zong,03108153189,8992042403180448736F,COSMOS
63,28121130610403,3299022833,Zong,03108153187,8992042403180448728F,COSMOS
