Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,46111410116803,3698088840,Ufone,03313105228,89410034154317672202,COSMOS
2,46111410117003,3698090778,Zong,03184196228,8992042403180364248F,COSMOS
3,46111410135400,3698090774,Zong,03184196218,8992042403180364206F,COSMOS
4,46111410711001,3698089680,Ufone,03323856559,89410034154413718289,COSMOS
5,46111410716801,3698089739,Ufone,03320382909,89410034154413701335,COSMOS
6,46111410717800,3698090791,Zong,03184196273,8992042403180364370F,COSMOS
7,46111410718400,3698090776,Zong,03184196220,8992042403180364222F,COSMOS
8,46111410718600,3698090777,Zong,03184196224,8992042403180364230F,COSMOS
9,46111410718700,3698089742,Ufone,03320382950,89410034154413701368,COSMOS
10,46111410718800,3698089677,Ufone,03323856473,89410034154413718255,COSMOS
11,46111410719100,3698089736,Ufone,03323857530,89410034154413718800,COSMOS
12,46111410719200,3698088839,Ufone,03313112337,89410034154317673341,COSMOS
13,46111410719400,3698089789,Ufone,03320384965,89410034154413701830,COSMOS
14,46111410719406,3698090794,Zong,03184196278,8992042403180364404F,COSMOS
15,46111410719500,3698090807,Zong,03184196305,8992042403180364545F,COSMOS
16,46111410720100,3698090792,Zong,03184196275,8992042403180364388F,COSMOS
17,46111410720500,3698090696,Ufone,03338932061,89410034232313284063,COSMOS
18,46111410720700,3698090793,Zong,03184196277,8992042403180364396F,COSMOS
19,46111410720900,3698090756,Zong,03184196179,8992042403180364024F,COSMOS
20,46111410721000,3698090695,Ufone,03338932056,89410034232313284055,COSMOS
21,46111410721100,3698090815,Zong,03184196340,8992042403180364628F,COSMOS
22,46111410721200,3698090813,Zong,03184196337,8992042403180364602F,COSMOS
23,46111410721400,3698090739,Zong,03184196092,8992042403180363851F,COSMOS
24,46111410721800,3698090722,Ufone,03338932234,89410034232313284329,COSMOS
25,46111410722400,3698090721,Ufone,03338932230,23231328431,COSMOS
26,46111410724001,3698090758,Zong,03184196183,8992042403180364040F,COSMOS
27,46111410724300,3698090747,Zong,03184196152,8992042403180363935F,COSMOS
28,46111410724600,3698090760,Zong,03184196185,8992042403180364065F,COSMOS
29,46111410725400,3698090738,Zong,03184196082,8992042403180363844F,COSMOS
30,46111410726000,3698090672,Ufone,03338814317,89410034232313283826,COSMOS
31,46111410726001,3698090751,Zong,03184196159,8992042403180363976F,COSMOS
32,46111410726100,3698090752,Zong,03184196170,8992042403180363984F,COSMOS
33,46111410726200,3698089740,Ufone,03320382912,89410034154413701343,COSMOS
34,46111410726201,3698090757,Zong,03184196181,8992042403180364032F,COSMOS
35,46111410726202,3698090673,Ufone,03338814330,89410034232313283834,COSMOS
36,46111410726300,3698090754,Zong,03184196174,8992042403180364008F,COSMOS
37,46111410726700,3698090824,Zong,03184196361,8992042403180364719F,COSMOS
38,46111410727000,3698090829,Zong,03184196372,8992042403180364768F,COSMOS
39,46111410727700,3698090771,Zong,03184196214,8992042403180364172F,COSMOS
40,46111410728100,3698090759,Zong,03184196184,8992042403180364057F,COSMOS
41,46111410728400,3698090701,Ufone,03338932084,89410034232313284113,COSMOS
42,46111410728402,3698090708,Ufone,03338932126,89410034232313284188,COSMOS
43,46111410728600,3698090734,Ufone,03338932366,89410034232313284444,COSMOS
44,46111410728700,3698089729,Ufone,03323857326,89410034154413718735,COSMOS
45,46111410728800,3698090709,Ufone,03338932134,89410034232313284196,COSMOS
46,46111410729500,3698090795,Zong,03184196279,8992042403180364412F,COSMOS
47,46111410729800,3698090710,Ufone,03338932159,89410034232313284204,COSMOS
48,46111410729903,3698090677,Ufone,03338931949,89410034232313283875,COSMOS
49,46111410730200,3698089679,Ufone,03323856538,89410034154413718271,COSMOS
50,46111410730204,3698090679,Ufone,03338931953,89410034232313283891,COSMOS
51,46111410730400,3698090676,Ufone,03338931943,89410034232313283867,COSMOS
52,46111410730500,3698090678,Ufone,03338931951,89410034232313283883,COSMOS
53,46111410730600,3698090680,Ufone,03338931957,89410034232313283909,COSMOS
54,46111410730900,3698089678,Ufone,03323856528,89410034154413718263,COSMOS
55,46111410731000,3698090755,Zong,03184196177,8992042403180364016F,COSMOS
56,46111410731201,3698089676,Ufone,03323856420,89410034154413718248,COSMOS
57,46111410731204,3698090723,Ufone,03338932237,89410034232313284337,COSMOS
58,46111410731300,3698090724,Ufone,03338932238,89410034232313284345,COSMOS
59,46111410731500,3698089728,Ufone,03323857314,89410034154413718727,COSMOS
60,46111410731600,3698090675,Ufone,03338930860,89410034232313283859,COSMOS
61,46111410731702,3698090725,Ufone,03338932280,23231328435,COSMOS
