Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,29159131599205,2998007162,Ufone,03313690984,894100341543175,COSMOS
2,29159131599732,2998007182,Ufone,03313691937,894100341543175,COSMOS
3,29159131600503,2998007266,No Telco,,0123456789,COSMOS
4,29159131602400,2998007155,Ufone,03313690820,894100341543175,COSMOS
5,29159131616900,2998007250,Ufone,03313695953,894100341543175,COSMOS
6,29159131617800,2998007197,Ufone,03313694249,894100341543175,COSMOS
7,29159131655206,2998007183,Ufone,03313691949,894100341543175,COSMOS
8,29159131655607,2998007187,Ufone,03313692125,894100341543175,COSMOS
9,29159131655628,2998007188,Ufone,03313693569,894100341543175,COSMOS
10,29159131655805,2998007191,Ufone,03313693778,894100341543175,COSMOS
11,29159131659900,2998007249,Ufone,03313695951,894100341543175,COSMOS
12,29159131659915,2998007142,Ufone,03313690574,894100341543175,COSMOS
13,29159131660400,2998007246,Ufone,03313695867,894100341543175,COSMOS
14,29159131660706,2998007161,Ufone,03313690976,894100341543175,COSMOS
15,29159131662041,2998007149,Ufone,03313690716,894100341543175,COSMOS
16,29159130062001,2998007198,Ufone,03313694446,894100341543175,COSMOS
17,29159130171308,2998007248,Ufone,03313695908,894100341543175,COSMOS
18,29159130185302,2998007229,Ufone,03313683216,894100341543175,COSMOS
19,29159130185305,2998007213,Ufone,03313695043,894100341543175,COSMOS
20,29159130300001,2998007251,Ufone,03313695955,894100341543175,COSMOS
21,29159130308010,2998007219,Ufone,03313695191,894100341543175,COSMOS
22,29159130338902,2998007172,Ufone,03313691401,894100341543175,COSMOS
23,29159130670201,2998007245,Ufone,03313695857,894100341543175,COSMOS
24,29159130672501,2998007170,Ufone,03313691343,894100341543175,COSMOS
25,29159130672900,2998007147,Ufone,03313690706,894100341543175,COSMOS
26,29159130673500,2998007199,Ufone,03313694498,894100341543175,COSMOS
27,29159130675010,2998007203,Ufone,03313694837,894100341543175,COSMOS
28,29159130675705,2998007185,Ufone,03313692013,894100341543175,COSMOS
29,29159130677901,2998007228,Ufone,03313695484,894100341543175,COSMOS
30,29159131024700,2998007201,Ufone,03313694656,894100341543175,COSMOS
31,29159131611010,2998007232,Ufone,03313695564,894100341543175,COSMOS
32,29159131051803,2998007243,Ufone,03313695811,894100341543175,COSMOS
33,29159131432111,2998007207,Ufone,03313694890,894100341543175,COSMOS
34,29159131443800,2998007200,Ufone,03313694655,894100341543175,COSMOS
35,29159131475601,2998007173,Ufone,03313691413,894100341543175,COSMOS
36,29159131502007,2998007184,Ufone,03313691986,894100341543175,COSMOS
37,29159131502200,2998007241,Ufone,03313695783,894100341543175,COSMOS
38,29159131511032,2998007148,Ufone,03313690712,894100341543175,COSMOS
39,29159131511405,2998007220,Ufone,03313695204,894100341543175,COSMOS
40,29159131512105,2998007236,Ufone,03313695663,894100341543175,COSMOS
41,29159131512202,2998007233,Ufone,03313695572,894100341543175,COSMOS
42,29159131562807,2998007256,Ufone,03313697403,894100341543175,COSMOS
43,29159131562808,2998007264,Ufone,03313698019,894100341543175,COSMOS
44,29159131562812,2998007238,Ufone,03313695718,894100341543175,COSMOS
45,29159131562821,2998007180,Ufone,03313691789,894100341543175,COSMOS
46,29159131562900,2998007263,Ufone,03313697829,894100341543175,COSMOS
47,29159131589205,2998007163,Ufone,03313690994,894100341543175,COSMOS
48,29159131598506,2998007151,Ufone,03313690744,894100341543175,COSMOS
49,29159131598725,2998007202,Ufone,03313694832,894100341543175,COSMOS
50,29159131600311,2998007192,Ufone,03313693907,894100341543175,COSMOS
