Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,27158110052406,3699004511,Telenor,03401926467,8941006090527908808,COSMOS
2,27158110079402,3699003349,Ufone,03357518595,8941003414361121680,COSMOS
3,27158110079403,3699003319,Ufone,03357518353,8941003414361121650,COSMOS
4,27158110079404,3699004522,Telenor,03401926478,8941006090527908819,COSMOS
5,27158110175101,3699002447,Telenor,03401922912,8941006090527905366,COSMOS
6,27158110197101,3698030385,Ufone,03359371649,8941003414351593942,COSMOS
7,27158110224502,3699003350,Ufone,03357518602,8941003414361121681,COSMOS
8,27158110644105,3699003313,Ufone,03357518284,8941003414361121644,COSMOS
9,27158111079600,3699003573,Ufone,03357522098,8941003414361121904,COSMOS
10,27158111079606,3699003314,Ufone,03357518287,8941003414361121645,COSMOS
11,27158111149902,3699012959,Ufone,03361879066,8941003414331750460,COSMOS
12,27158111149904,3699003351,Ufone,03357518606,8941003414361121682,COSMOS
13,27158111654000,3699017719,Ufone,03314605471,0000003415441366799,COSMOS
14,27158110052403,3699003288,Ufone,03357517916,8941003414361121619,COSMOS
15,27158110854300,3699002451,Telenor,03401922916,8941006090527905370,COSMOS
16,27158111079604,3699017606,Ufone,03314602971,0000003415441366564,COSMOS
17,27158110155704,3699003535,Ufone,03357521660,8941003414361121866,COSMOS
18,27158110360900,3699003714,Ufone,03357525056,8941003414361122045,COSMOS
19,27158110360902,3699003304,Ufone,03357518174,8941003414361121635,COSMOS
20,27158110157000,3699003345,Ufone,03357518564,8941003414361121676,COSMOS
21,27158110742800,3698033627,Ufone,03344733805,8941003414341216289,COSMOS
22,27158110786502,3699003556,Ufone,03357521889,8941003414361121887,COSMOS
23,27158110813000,3699003577,Ufone,03357522135,8941003414361121908,COSMOS
24,27158110915500,3698030067,Ufone,03359367805,8941003414351593624,COSMOS
25,27158110928200,3699002464,Telenor,03401922931,8941006090527905383,COSMOS
26,27158110928406,3699017475,Ufone,03328803221,8941003415441362926,COSMOS
27,27158110928600,3699002461,Jazz,03061121877,8992300084081544885,COSMOS
28,27158110928604,3699002493,Telenor,03401922960,8941006090527905412,COSMOS
29,27158110928606,3699003561,Ufone,03357522017,8941003414361121892,COSMOS
30,27158110928802,3699002440,Jazz,03061121870,8992300084081544810,COSMOS
31,27158110928804,3699002530,Telenor,03401922997,8941006090527905449,COSMOS
32,27158110928805,3699002484,Telenor,03401922951,8941006090527905403,COSMOS
33,27158110937304,3699002487,Telenor,03401922954,8941006090527905406,COSMOS
34,27158110937307,3699002472,Telenor,03401922939,8941006090527905391,COSMOS
35,27158110937309,3699002469,Telenor,03401922936,8941006090527905388,COSMOS
36,27158110937311,3699013382,Ufone,03318342354,8941003414331752948,COSMOS
37,27158112449403,3699004328,Telenor,03401926280,8941006090527908625,COSMOS
38,27158110765401,3699002506,Telenor,03401922973,8941006090527905425,COSMOS
39,27158110765402,3699002417,Telenor,03401922881,8941006090527905336,COSMOS
40,27158110765502,3699002422,Telenor,03401922886,8941006090527905341,COSMOS
41,27158110765503,3699002466,Telenor,03401922933,8941006090527905385,COSMOS
42,27158110766708,3699005027,Telenor,03401927007,8941006090527909324,COSMOS
