Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,28158110079404,3699003367,Ufone,03357518680,8941003414361121698,COSMOS
2,28158110194100,3698027849,Ufone,03349389101,8941003414341214006,COSMOS
3,28158111208200,3698033988,Ufone,03344736722,8941003414341216650,COSMOS
4,28158110644103,3699003552,Ufone,03357521865,8941003414361121883,COSMOS
5,28158110916900,3698030191,Ufone,03359369272,8941003414351593748,COSMOS
6,28158111661305,3298020436,Jazz,03018712768,8992200040154357920,COSMOS
7,28158120118400,3698033637,Ufone,03344733867,8941003414341216299,COSMOS
8,28158120453502,3698033766,Ufone,03344734979,8941003414341216428,COSMOS
9,28158121866708,3298020628,Jazz,03028620893,899220040154351120,COSMOS
10,28158121949821,3298015986,Jazz,03018712543,8992200040154357259,COSMOS
11,28158120631711,3698032773,Ufone,03325098937,8941003414351597245,COSMOS
12,28158160932000,3698037785,Telenor,03400929704,8941006090527902341,COSMOS
13,28158161115400,3298026083,Jazz,03028620653,8992200040154350220,COSMOS
14,28158160961000,3698032998,Ufone,03325099311,8941003414351597272,COSMOS
15,28158161269305,3298015955,Jazz,03018712789,8992200040154358067,COSMOS
16,28158160001916,3298016456,Jazz,03018712799,8992200040154358109,COSMOS
17,28158161010901,3298016121,Jazz,03018712791,8992200040154358075,COSMOS
18,28158150643200,3698031761,Ufone,03315524894,8941003414351596233,COSMOS
19,28158151411100,3698032548,Ufone,03325094998,8941003414351597020,COSMOS
20,28158150319026,3298014364,Jazz,03028712766,8992200040154357900,COSMOS
21,28158171399710,3298003851,Jazz,03085970637,8992200040154245199,COSMOS
22,28158171419200,3298019467,Jazz,03060039153,8992200040154332192,COSMOS
23,28158171422108,3298022674,Telenor,03492245471,8941006220562947888,COSMOS
24,28158171419500,3698039742,Telenor,03401921344,8941006090527903847,COSMOS
25,28158171419910,3298002073,Telenor,03497659146,8941006220462944166,COSMOS
26,28158171432613,3298005255,Jazz,03018713019,8992200040154359123,COSMOS
27,28158141200102,3298015967,Jazz,03028621733,8992200040154352770,COSMOS
28,28158141040202,3298020196,Jazz,03018712796,8992200040154358090,COSMOS
29,28158131344818,3698033623,Ufone,03344733790,8941003414341216285,COSMOS
30,28158131534608,3698034082,Ufone,03344737631,8941003414341216744,COSMOS
31,28158131046006,3298016248,Jazz,03018712588,8992200040154357416,COSMOS
32,28158321208803,3298011778,Jazz,03054075402,8992200040154457117,COSMOS
33,28158321205200,3698032397,Ufone,03325092878,8941003414351596869,COSMOS
34,28158321205300,3698032713,Ufone,03325098061,8941003414351597185,COSMOS
35,28158321206100,3698033974,Ufone,03344736587,8941003414341216636,COSMOS
36,28158321228400,3698037489,No Telco,0399881111111,89410000000000000001,COSMOS
37,28158321217400,3298008402,Jazz,03051882367,8992200040154326490,COSMOS
38,28158321217500,3698033615,Ufone,03344733732,8941003414341216277,COSMOS
39,28158321225100,3698037549,Telenor,03400929380,8941006090516765791,COSMOS
40,28158321151900,3298010658,Ufone,03302820083,8941003415431767717,COSMOS
41,28158321204300,3698033664,Ufone,03344734167,8941003414341216326,COSMOS
42,28158363516202,3298008203,Jazz,03028664065,8992200040154340000,COSMOS
43,28158362663901,3698037930,Telenor,03400929852,8941006090527902486,COSMOS
44,28158364088703,3698037466,Ufone,03318549642,8941003415451701356,COSMOS
45,28158343226701,3698037407,Telenor,03400929369,8941006090516765780,COSMOS
46,28158343240604,3298011769,Jazz,03054036143,8992200040154457075,COSMOS
47,28158343255600,3698037462,Telenor,03401630136,8941006090423774689,COSMOS
48,28158343271103,3698037819,Telenor,03400929738,8941006090527902375,COSMOS
49,28158343353900,3698037544,Telenor,03400929458,8941006090516765867,COSMOS
50,28158343353902,3698037526,Telenor,03400929439,8941006090516765849,COSMOS
51,28158343015500,3698037453,Telenor,03401630127,8941006090423774680,COSMOS
52,28158342595200,3699004599,Telenor,03401926556,8941006090527908896,COSMOS
53,28158342634902,3698037417,Telenor,03400929379,8941006090516765790,COSMOS
54,28158342705700,3698037520,Telenor,03400929433,8941006090516765843,COSMOS
55,28158342634903,3298011732,Jazz,03053955679,8992200040154457067,COSMOS
56,28158310001227,3298016598,Jazz,03086506831,8992200040154249886,COSMOS
57,28158310004301,3298020806,Jazz,03086383976,8992200040154249068,COSMOS
58,28158310008601,3298021174,Jazz,03085972713,8992200040154245355,COSMOS
