Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,30266120130043,3298043351,Jazz,03269007079,8992300001589032684F,COSMOS
2,30266120130086,3298032825,Ufone,03346738074,89410034154610213134,COSMOS
3,30266120131341,3298032925,Ufone,03346737649,89410034154610213019,COSMOS
4,30266120485800,3298034078,Ufone,03317357982,89410034154610193534,COSMOS
5,30266120485805,3298034054,Ufone,03317357854,89410034154610193492,COSMOS
6,30266120001299,3299005286,Ufone,03318398301,89410034143317536616,COSMOS
7,30266120165902,3298042008,Telenor,03401924913,89410062205689839343,COSMOS
8,30266120419404,3299005435,Jazz,03028744793,8992200040154341246F,COSMOS
9,30266120547909,3298034153,Ufone,03317358031,89410034154610193567,COSMOS
10,30266120693104,3298041752,Ufone,03350803219,89410034154610224883,COSMOS
11,30266120614220,3299005114,Ufone,03346773081,89410034154610218992,COSMOS
12,30266120614223,3298043264,Jazz,03265067883,8992300001589032916F,COSMOS
13,30266120614224,3299005152,Ufone,03346773693,89410034154610219198,COSMOS
14,30266120618401,3298043561,Jazz,03265067713,8992300001589032759F,COSMOS
15,30266120618403,3298043361,Jazz,03265067966,8992300001589033039F,COSMOS
16,30266120618404,3298043601,Jazz,03265067895,8992300001589032940F,COSMOS
17,30266120618405,3299005316,Telenor,03496681900,89410062204683661167,COSMOS
18,30266120618406,3298043694,Jazz,03265067927,8992300001589032981F,COSMOS
19,30266120618500,3299007132,Jazz,03265067857,8992300001589032908F,COSMOS
20,30266120618504,3298043171,Jazz,03265067921,8992300001589032965F,COSMOS
21,30266120618505,3298043765,Jazz,03265068056,8992300001589033070F,COSMOS
22,30266120618506,3298043294,Jazz,03265067622,8992300001589032650F,COSMOS
23,30266120618507,3299005496,Telenor,03496681884,8941006220468366114,COSMOS
24,30266120618508,3298043995,Jazz,03265068056,0899230000158903306,COSMOS
25,30266120618509,3298043390,Jazz,03265067826,8992300001589032866F,COSMOS
26,30266120618510,3299005157,Telenor,03496682006,8941006220468366137,COSMOS
27,30266120618511,3299005347,Telenor,03496681889,89410062204683661159,COSMOS
28,30266120618512,3298043473,Jazz,03265067820,899230000158903284,COSMOS
29,30266120618600,3299002724,Telenor,03496681756,8941006220468366088,COSMOS
30,30266120618604,3298043178,Jazz,03265067891,8992300001589032932F,COSMOS
31,30266120618605,3299005122,Ufone,03346773275,89410034154610219081,COSMOS
32,30266120620504,3299005226,Ufone,03346773241,89410034154610219057,COSMOS
33,30266120704408,3299005121,Telenor,03496682016,89410062204683661381,COSMOS
34,30266120938002,3298034093,Ufone,03317357985,89410034154610193542,COSMOS
35,30266120952651,3298034068,Ufone,03317358019,89410034154610193559,COSMOS
36,30266120975304,3298033060,Ufone,03346737609,89410034154610213001,COSMOS
37,30266120975702,3298032834,Ufone,03346737801,89410034154610213076,COSMOS
38,30266120976801,3298033053,Ufone,03346737843,89410034154610213084,COSMOS
39,30266121020001,3298032692,Ufone,03346737718,89410034154610213035,COSMOS
40,30266121029601,3298034044,Ufone,03317357893,89410034154610193518,COSMOS
41,30266120001400,3299005000,Jazz,03028744795,8992200040154341261F,COSMOS
42,30266120938003,3298034039,Ufone,0331735907,89410034154610193526,COSMOS
43,30266120975305,3298033070,Ufone,03346737898,89410034154610213100,COSMOS
44,30266120130011,3298041807,Ufone,03318393137,89410034154517027785,COSMOS
45,30266120252302,3298043968,Jazz,03265067670,8992300001589032676F,COSMOS
46,30266120618501,3298043224,Jazz,03265067825,8992300001589032858F,COSMOS
47,30266120618502,3298043492,Jazz,03265067902,8992300001589032957F,COSMOS
48,30266120704411,3298043271,Jazz,03265067673,8992300001589032643F,COSMOS
49,30266120704410,3299005305,Ufone,03346773269,89410034154610219073,COSMOS
50,30266120704417,3298043401,Jazz,03265067924,8992300001589032973F,COSMOS
51,30266120772001,3298032923,Ufone,03346737743,89410034154610213050,COSMOS
52,30266120794401,3298032899,Ufone,03346737794,89410034154610213068,COSMOS
53,30266120810101,3298032983,Ufone,03346737743,89410034154610213043,COSMOS
54,30266120395305,3298034055,Ufone,03317357863,89410034154610193500,COSMOS
55,30266120586301,3298032872,Ufone,03346737975,89410034154610213118,COSMOS
56,30266120646703,3299005228,Telenor,03496682017,89410062204683661399,COSMOS
57,30266120651404,3299005304,Ufone,03346773240,89410034154610219040,COSMOS
58,30266120704406,3299002712,Telenor,03496681873,8941006220468366112,COSMOS
59,30266110477102,3298032916,Telenor,03498391460,89410062204683658981,COSMOS
60,30266110921100,3298032914,Telenor,03498391443,89410062204683658965,COSMOS
61,30266110989807,3298032873,Telenor,03498391459,89410062204683658973,COSMOS
62,30266110989870,3299005394,Telenor,03498390814,89410062204683658106,COSMOS
63,30266111005702,3298032799,Ufone,03341173593,89410034154610211542,COSMOS
64,30266111110305,3299005499,Telenor,03498390846,89410062204683658130,COSMOS
65,30266111303903,3298041914,Telenor,03401926092,89410062205689839590,COSMOS
66,30266111339402,3298033179,Ufone,03341175595,89410034154610211658,COSMOS
67,30266110157003,3299005363,Telenor,03498390891,89410062204683658197,COSMOS
68,30266110157009,3298041709,Telenor,03401926056,89410062205689839624,COSMOS
69,30266110208600,3298033039,Ufone,03341172578,89410034154610211351,COSMOS
70,30266110774341,3299005366,Telenor,03498390894,89410062204683658213,COSMOS
71,30266110774414,3299005245,Ufone,03350802837,89410034154610224800,COSMOS
72,30266110775201,3298032821,Ufone,03341173530,89410034154610211500,COSMOS
73,30266110980913,3299002721,Telenor,03498390864,89410062204683658171,COSMOS
74,30266111009401,3299005369,Telenor,03498390861,89410062204683658155,COSMOS
75,30266111025005,3298032973,Ufone,03346730626,89410034154610211914,COSMOS
76,30266111056307,3298033132,Ufone,03341172351,89410034154610211344,COSMOS
77,30266111115101,3298032992,Ufone,03341173469,89410034154610211484,COSMOS
78,30266110223302,3298032961,Ufone,03341173686,89410034154610211575,COSMOS
79,30266110574202,3298032809,Ufone,03341172581,89410034154610211369,COSMOS
80,30266110727800,3298033055,Ufone,03341173550,89410034154610211534,COSMOS
81,30266110886005,3298033018,Ufone,03346730827,89410034154610211948,COSMOS
82,30266111017553,3299005368,Telenor,03498390916,89410062204683658221,COSMOS
83,30266110896627,3298032859,Ufone,03341173601,89410034154610211559,COSMOS
84,30266150498068,3298044089,Jazz,03265067048,8992300001589032262F,COSMOS
85,30266150498077,3299005164,Telenor,03496681987,8941006220468366134,COSMOS
86,30266150498121,3299005466,Ufone,03346776853,8941003415461081936,COSMOS
87,30266150498125,3299004957,Ufone,03346776296,89410034154610219339,COSMOS
88,30266150498509,3299004962,Zong,03153006928,8992042303180029033F,COSMOS
89,30266150505900,3298043375,Ufone,03365612619,89410034143515976499,COSMOS
90,30266150508409,3299005191,Telenor,03496681976,8941006220468366131,COSMOS
91,30266150364505,3299006888,Ufone,03350188954,89410034154610224610,COSMOS
92,30266150695501,3298033181,Ufone,03346737246,89410034154610212888,COSMOS
93,30266150794500,3298043181,Jazz,03255066917,8992300001589032197F,COSMOS
94,30266150128303,3298043192,Ufone,03341962210,89410034143515923947,COSMOS
95,30266150297907,3298043910,Ufone,03359022619,89410034143515930256,COSMOS
96,30266150298201,3299005130,Ufone,03350802848,89410034154610224818,COSMOS
97,30266150545604,3298041740,Ufone,03350803519,89410034154610224925,COSMOS
98,30266150517200,3299002729,Zong,03170172075,success,COSMOS
99,30266150517204,3299005220,Zong,03170172156,success,COSMOS
100,30266150517205,3299005253,Ufone,03346776986,89410034154610219388,COSMOS
101,30266150517209,3298043607,Ufone,03365661843,89410034143515984154,COSMOS
102,30266150517213,3298043698,Ufone,03365614702,89410034143515979188,COSMOS
103,30266150517214,3299005290,Ufone,03346774391,8941003415461081925,COSMOS
104,30266150517217,3298044767,Jazz,03265066814,8992300001589032130F,COSMOS
105,30266150517218,3298043170,Ufone,03346736050,036125021282,COSMOS
106,30266150517220,3299005128,Zong,03170172092,success,COSMOS
107,30266150517222,3298043564,Jazz,03265066841,8992300001589032163F,COSMOS
108,30266150517223,3299005434,Zong,03170172157,8992042403180319192F,COSMOS
109,30266150517226,3299005182,Ufone,03346774551,89410034154610219271,COSMOS
110,30266150517227,3298043036,Jazz,03265066992,8992300001589032221F,COSMOS
111,30266150517228,3299005463,Ufone,03346776049,89410034154610219321,COSMOS
112,30266150517230,3299005156,Ufone,03346775212,89410034154610219289,COSMOS
113,30266150517234,3299005433,Jazz,03028745965,8992200040154341683F,COSMOS
114,30266150517235,3299002713,Zong,03170172076,success,COSMOS
115,30266150517239,3299005124,Zong,03170172093,success,COSMOS
116,30266150517241,3299006972,Zong,03112855748,8992042303180017558F,COSMOS
117,30266150517242,3298043121,Ufone,03365615819,89410034143515980608,COSMOS
118,30266150517244,3299005223,Telenor,03496681819,89410062204683661043,COSMOS
119,30266150517245,3298043650,Ufone,03369378981,89410034143515958984,COSMOS
120,30266150517246,3299005176,Telenor,03496682038,89410062204683661431,COSMOS
121,30266150517247,3298041717,Ufone,03365618525,89410034154517028536,COSMOS
122,30266150517250,3298043887,Jazz,03265067046,8992300001589032254F,COSMOS
123,30266150517251,3298043429,Jazz,03265068270,8992300001589033229F,COSMOS
124,30266150517252,3298043238,Jazz,03265066865,8992300001589032189F,COSMOS
125,30266150517258,3299005201,Zong,03170172164,success,COSMOS
126,30266150517259,3299005465,Ufone,03346775241,89410034154610219297,COSMOS
127,30266150517260,3299005356,Zong,03170172158,8992042403180319200F,COSMOS
128,30266150517261,3298043111,Zong,03170172087,8992042403180318699F,COSMOS
129,30266150517263,3299005355,Zong,03170172160,8992042403180319226F,COSMOS
130,30266150517264,3299005432,Zong,03170172161,success,COSMOS
131,30266150517270,3298043944,Jazz,03265067072,8992300001589032270F,COSMOS
