Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,24381510043802,3799005935,Ufone,03348207992,89410034154517061735,COSMOS
2,24381510098915,3799006360,Zong,03171234567,8992300001589009823F,COSMOS
3,24381510122610,3799005934,Zong,03171712622,8992042403180438984F,COSMOS
4,24381510001000,3799006356,Zong,03171234567,89410034154317641264,COSMOS
5,24381510008000,3799005932,Zong,03171712598,8992042403180438786F,COSMOS
6,24381510035900,3799006421,Zong,03171712631,8992042403180439057F,COSMOS
7,24381510042803,3799006385,Zong,03171712621,8992042403180438976F,COSMOS
8,24381510042804,3799006024,Zong,03171234567,8992300001589009799F,COSMOS
9,24381510042805,3799006184,Zong,03171234567,8992042403180438851F,COSMOS
10,24381510115901,3799006259,Zong,03171234567,8992300001589009872F,COSMOS
11,24381510621001,3799006447,Zong,03171712624,8992042403180439008F,COSMOS
12,24381510188501,3799006068,Ufone,03348207963,89410034154517061719,COSMOS
13,24381510191000,3799006424,Ufone,03348207942,89410034154517061693,COSMOS
14,24381510212900,3799006422,Ufone,03348208045,89410034154517061776,COSMOS
15,24381510217902,3799006023,Jazz,03263829074,8992300001589009740F,COSMOS
16,24381510234101,3799006558,Zong,03171712605,8992042403180438844F,COSMOS
17,24381510234102,3799006560,Jazz,03263829061,999034116366976,COSMOS
18,24381510234110,3799006384,Zong,03171712629,8992042403180439032F,COSMOS
19,24381510530204,3799006556,Zong,03171712620,8992042403180438968F,COSMOS
20,24381510530209,3799006069,Zong,03171712619,8992042403180438950F,COSMOS
21,24381511105203,3799006258,Zong,03171234567,89410034154317641348,COSMOS
22,24381510234113,3799006383,Zong,03171234567,89410034154317641231,COSMOS
23,24381510307502,3799006021,Zong,03171234567,8992300001589009989F,COSMOS
24,24381510311720,3799006425,Jazz,03263829139,8992300001589009781F,COSMOS
25,24381510311730,3799006445,Zong,03171234567,8992300001589009849F,COSMOS
26,24381510311740,3799006183,Zong,03171712611,8992042403180438893F,COSMOS
27,24381510311750,3799006182,Zong,03171234567,89410034154317641256,COSMOS
28,24381510316905,3799006423,Ufone,03348207958,89410034154517061701,COSMOS
29,24381510324405,3799006260,Zong,03171234567,8992042403180438869F,COSMOS
30,24381510444100,3799006446,Ufone,03348208022,89410034154517061750,COSMOS
31,24381510529000,3799006449,Zong,03171712630,8992042403180439040F,COSMOS
32,24381510529900,3799006070,Zong,03171234567,8992300001589009864F,COSMOS
33,24381510530202,3799006557,Zong,03171234567,89410034154317641355,COSMOS
34,24381510530203,3799006067,Zong,03171712616,8992042403180438935F,COSMOS
35,24381510530206,3799006066,Zong,03171234567,8992300001589009856F,COSMOS
36,24381510578610,3799006359,Zong,03171234567,89410034154317641249,COSMOS
