Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,24591140117404,3799207841,Jazz,03206305448,8992300001589017149F,COSMOS
2,30591140117401,3799207470,Jazz,03206304250,8992300001589017248F,COSMOS
3,30591140117402,3799207840,Jazz,03206304303,8992300001589017222F,COSMOS
4,30591140117407,3799207486,Jazz,03206305967,8992300001589017115F,COSMOS
5,30591140117518,3799207839,Jazz,03206304263,8992300001589017230F,COSMOS
6,30591140117521,3799207479,Jazz,03206308549,8992300001589017016F,COSMOS
7,30591140117526,3799207483,Jazz,03206307668,8992300001589017024F,COSMOS
8,30591140117537,3799207842,Jazz,03206294219,8992300001589017461F,COSMOS
9,30591140117538,3799207846,Jazz,03206304387,899230000158901721,COSMOS
10,30591140119374,3799207469,Jazz,03206304744,8992300001589017180F,COSMOS
11,30591140125748,3799207463,Jazz,03206307379,8992300001589017032F,COSMOS
12,30591140125754,3799101978,Jazz,03206306590,8992300001589017073F,COSMOS
13,30591140117520,3799101955,Jazz,03206291091,8992300001589017487F,COSMOS
14,24591140407965,3799207838,Jazz,03206309473,8992300001589016919F,COSMOS
15,30591140126053,3799207843,Jazz,03206293493,8992300001589017479F,COSMOS
16,30591140128751,3799207487,Jazz,03206332847,8992300001589015903F,COSMOS
17,30591140129301,3799207837,Jazz,03206318451,8992300001589016323F,COSMOS
18,30591140130853,3799207444,Jazz,03206334833,8992300001589015853F,COSMOS
19,30591140133851,3799207853,Jazz,03206318235,8992300001589016331F,COSMOS
20,30591140133852,3799207488,Jazz,03206301068,8992300001589017362F,COSMOS
21,30591140138254,3799207517,Jazz,03206306208,8992300001589017107F,COSMOS
22,30591140139306,3799207844,Jazz,03206304876,8992300001589017164F,COSMOS
23,30591140407909,3799207491,Jazz,03206335011,8992300001589015838F,COSMOS
24,30591140131101,3799207481,Jazz,03206305134,8992300001589017156F,COSMOS
25,30591140444602,3799101953,Jazz,03206286707,8992300001589017537F,COSMOS
26,30591140485800,3799207453,Jazz,03206285927,8992300001589017545F,COSMOS
27,30591140407902,3799101961,Jazz,03206284847,8992300001589017560F,COSMOS
