Sr. No.,Reference No.,MSN,Telco,Sim No,Sim Id,PROJECT
1,29158120390960,3698056835,Telenor,03409748492,8941006090527901546,COSMOS
2,29158161302300,3698037501,Telenor,03400929414,8941006090516765824,COSMOS
3,29158161033308,3699014159,Jazz,03054291066,8992200040154462208,COSMOS
4,29158171404405,3699014971,Ufone,03310167223,8941003414361122328,COSMOS
5,29158141768700,3698030327,Ufone,03359370807,8941003414351593884,COSMOS
6,29158141768703,3698025954,Ufone,03371420703,8941003414241195475,COSMOS
7,29158141768900,3699002347,Ufone,03324914653,8941003435114213004,COSMOS
8,29158141768902,3698032246,Ufone,03325090752,8941003414351596718,COSMOS
9,29158141769203,3698032282,Ufone,03325091168,8941003414351596754,COSMOS
10,29158131482101,3698032605,Ufone,03325096010,8941003414351597077,COSMOS
11,29158131495303,3698031729,Ufone,03315524563,8941003414351596201,COSMOS
12,29158131495307,3698031766,Ufone,03315524918,894100341435159623,COSMOS
13,29158131504301,3698029964,Ufone,03359366758,8941003414351593521,COSMOS
14,29158131509604,3698033218,Ufone,03344730543,8941003414341215880,COSMOS
15,29158131570405,3698031341,Ufone,03359383559,8941003414351594898,COSMOS
16,29158321108500,3698031731,Ufone,03315524576,8941003414351596203,COSMOS
17,29158321224100,3698033822,Ufone,03344735384,8941003414341216484,COSMOS
18,29158321128200,3698033668,Ufone,03344734214,8941003414341216330,COSMOS
19,29158343327100,3698037446,Telenor,03400929409,8941006090516765819,COSMOS
20,29158310019701,3698062413,Ufone,03314656975,8941003415441366286,COSMOS
21,29158310490001,3698055039,Telenor,03409745772,8941006090527898488,COSMOS
22,29158310901005,3698032440,Ufone,03325093468,8941003414351596912,COSMOS
23,29158311515900,3698033866,Ufone,03344735744,8941003414341216528,COSMOS
24,29158230455800,3698037734,Telenor,03400929651,8941006090516766057,COSMOS
25,29158231179803,3698037693,Telenor,03400929610,8941006090516766016,COSMOS
26,29158231512202,3698037825,Telenor,03400929744,8941006090527902381,COSMOS
27,29158231512204,3698037675,Telenor,03400929591,8941006090516765998,COSMOS
28,29158230389500,3698056812,Telenor,03409748468,8941006090527901523,COSMOS
29,29158240565507,3698037715,Telenor,03400929632,8941006090516766038,COSMOS
30,29158240565515,3698037705,Telenor,03400929622,8941006090516766028,COSMOS
31,29158240384722,3698037673,Telenor,03400929589,8941006090516765996,COSMOS
32,29158240392702,3698031086,Ufone,03359379454,8941003414351594643,COSMOS
33,29158240415004,3698035723,Ufone,03327170759,8941003414361117903,COSMOS
34,29158240415302,3698035745,Ufone,03327172547,8941003414361117925,COSMOS
35,29158240419302,3698037699,Telenor,03400929616,8941006090516766022,COSMOS
36,29158240419304,3698035494,Ufone,03327164516,8941003414361117674,COSMOS
37,29158240419305,3698037871,Telenor,03400929792,8941006090527902427,COSMOS
38,29158240419306,3698035676,Ufone,03327169560,8941003414361117856,COSMOS
39,29158240419308,3698037435,Telenor,03400929398,8941006090516765808,COSMOS
40,29158240461906,3698035292,Ufone,03326116545,8941003414361117472,COSMOS
41,29158240468501,3698035640,Ufone,03327168776,8941003414361117820,COSMOS
42,29158240496004,3698039111,Telenor,03401923126,8941006090527905576,COSMOS
43,29158240499101,3698038140,Telenor,03400929348,8941006090516765759,COSMOS
44,29158240499103,3698039119,Telenor,03401923127,8941006090527905577,COSMOS
45,29158240505502,3698037841,Telenor,03400929760,8941006090527902397,COSMOS
46,29158240508501,3698037641,Telenor,03400929557,8941006090516765964,COSMOS
47,29158240509202,3698035620,Ufone,03327168502,8941003414361117800,COSMOS
48,29158240509205,3698035531,Telenor,03400289106,8941006090223547205,COSMOS
49,29158240538501,3698037696,Telenor,03400929613,8941006090516766019,COSMOS
50,29158240538504,3698037677,Telenor,03400929593,8941006090516766000,COSMOS
51,29158240538505,3698037818,Telenor,03400929737,8941006090527902374,COSMOS
52,29158240538506,3698034492,Ufone,03344762415,8941003414341217154,COSMOS
53,29158240538507,3698037797,Telenor,03400929716,8941006090527902353,COSMOS
54,29158240538508,3698037774,Telenor,03400929692,8941006090527902330,COSMOS
55,29158240538509,3698037867,Telenor,03400929788,8941006090527902423,COSMOS
56,29158240549304,3698037650,Telenor,03400929566,8941006090516765973,COSMOS
57,29158240584003,3698037850,Telenor,03400929769,8941006090527902406,COSMOS
58,29158211289700,3699013338,Ufone,03318337811,8941003414331752904,COSMOS
59,29158210967001,3698037511,Telenor,03400929424,8941006090516765834,COSMOS
60,29158210967201,3698037434,Telenor,03400929397,8941006090516765807,COSMOS
61,29158211349000,3698037698,Telenor,03400929615,8941006090516766021,COSMOS
62,29158251592114,3698037933,Telenor,03400929855,8941006090527902489,COSMOS
63,29158251592118,3698025877,Telenor,03400929879,89410060905279802513,COSMOS
64,29158251592142,3698059091,Ufone,03327908996,8941003414231754274,COSMOS
65,29158251594902,3698030518,Ufone,03359372363,8941003414351594075,COSMOS
66,29158251594905,3698030382,Ufone,03359371611,8941003414351593939,COSMOS
67,29158251700267,3698032737,Ufone,03325098458,8941003414351597209,COSMOS
